nataid,natarms,natchld,natcity,natcrime,natdrug,nateduc,natenrgy,natenvir,natfare,natheal,natmass,natpark,natrace,natroad,natsci,natsoc,eqwlth,health,helpsick,helppoor,year
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,About right,NA,Good,NA,NA,2021
Too much,Too much,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,About right,Too little,About right,6,Excellent,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,1,Excellent,Yes,Yes,2021
Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,About right,NA,Excellent,NA,NA,2021
About right,Too much,Too little,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2021
Too much,About right,Too much,About right,About right,About right,Too much,About right,Too little,About right,Too little,Too little,About right,Too little,About right,Too little,Too little,4,Good,Both,Both,2021
About right,About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,About right,NA,Good,NA,NA,2021
Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,1,Fair,Both,Both,2021
Too much,About right,About right,About right,Too little,Too little,About right,About right,Too little,Too much,About right,About right,Too little,About right,About right,Too little,Too little,NA,Good,NA,NA,2021
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,Too little,Too little,Too little,1,Poor,Yes,Both,2021
Too much,Too little,About right,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,About right,Too little,About right,Too little,3,Good,Somewhat,Somewhat,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,1,Fair,Yes,Yes,2021
Too much,About right,Too little,Too little,About right,About right,Too little,About right,Too little,About right,Too little,About right,Too little,About right,Too little,Too much,Too little,3,Good,Somewhat,Somewhat,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,Too much,Too little,5,Fair,Both,Both,2021
About right,Too much,About right,Too little,About right,About right,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,NA,Excellent,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,NA,Good,NA,NA,2021
Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,5,Excellent,Somewhat,Somewhat,2021
NA,About right,About right,Too little,Too little,About right,Too little,About right,Too little,Too much,Too little,About right,About right,About right,About right,Too little,About right,6,Good,Both,Both,2021
Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,Fair,Yes,Yes,2021
About right,Too much,Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too much,About right,NA,Too little,Too little,About right,1,Fair,Both,Both,2021
Too much,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2021
About right,Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,About right,About right,Too little,About right,NA,Good,NA,NA,2021
Too little,Too much,About right,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,4,Good,Yes,Both,2021
Too much,About right,Too much,Too much,Too little,Too much,About right,Too much,Too much,Too much,Too little,Too much,Too much,Too much,About right,About right,About right,NA,Good,NA,NA,2021
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,NA,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,About right,Too little,Too little,6,Poor,NA,NA,2021
About right,Too little,Too little,Too much,About right,Too much,Too little,Too much,Too little,Too much,Too little,About right,Too little,Too little,About right,Too much,About right,5,Poor,NA,Somewhat,2021
Too much,Too much,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Fair,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,About right,About right,4,Fair,Yes,Somewhat,2021
About right,Too much,Too little,Too little,About right,Too little,Too little,Too much,About right,About right,Too little,Too much,Too little,Too little,Too much,Too much,About right,NA,Excellent,NA,NA,2021
About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,Too little,About right,About right,3,Good,Somewhat,Somewhat,2021
About right,About right,Too little,Too much,About right,NA,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,About right,NA,Fair,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,4,Good,Somewhat,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,5,Fair,NA,Both,2021
Too much,Too much,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,About right,Too little,Too little,Too much,Too little,NA,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,About right,2,Good,NA,Both,2021
Too little,About right,About right,Too little,About right,About right,About right,About right,About right,About right,Too little,About right,About right,About right,About right,About right,About right,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,About right,About right,About right,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too much,Too little,3,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,Too little,About right,4,Good,Both,Both,2021
Too much,About right,Too little,Too little,Too much,Too little,About right,About right,Too little,About right,Too little,About right,About right,Too much,Too little,Too little,Too little,NA,Excellent,NA,NA,2021
Too much,Too little,About right,Too little,Too little,Too little,Too much,Too much,Too much,Too little,Too little,About right,Too little,Too much,About right,Too much,Too little,1,Poor,Both,Yes,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,About right,NA,Fair,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,5,Excellent,Both,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,3,Good,Yes,Somewhat,2021
About right,Too much,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,3,Good,Yes,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,About right,4,Good,Both,Both,2021
About right,About right,Too little,About right,Too little,About right,Too little,Too little,Too little,About right,Too little,About right,About right,NA,Too little,Too little,Too little,2,Good,Somewhat,Both,2021
About right,About right,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,3,Good,Somewhat,Somewhat,2021
About right,About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,Too little,1,Fair,Yes,Yes,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,About right,1,Good,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,About right,NA,Too little,Too much,Too little,6,Fair,Both,No,2021
Too much,Too little,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,About right,Too much,About right,NA,Too little,About right,About right,7,Fair,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Good,NA,NA,2021
Too much,Too much,Too little,Too much,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too much,Too little,1,Fair,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,About right,NA,Excellent,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,2,Fair,Both,No,2021
About right,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too little,5,Good,Both,Both,2021
Too much,Too much,Too little,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,1,Good,Yes,Yes,2021
About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2021
Too much,About right,Too little,About right,Too little,About right,Too little,Too much,Too little,Too little,Too little,About right,Too much,Too little,About right,Too much,Too little,1,Good,Yes,Yes,2021
Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,Too much,Too little,About right,About right,Too little,2,Fair,Yes,Both,2021
About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,NA,Good,NA,NA,2021
Too much,Too little,Too much,Too much,Too little,About right,Too much,Too much,About right,Too much,Too much,Too much,Too much,Too much,About right,About right,Too little,7,Good,No,No,2021
About right,About right,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,Too little,About right,Too little,Too little,1,Good,Yes,Yes,2021
Too much,Too much,About right,Too little,About right,About right,Too little,About right,Too little,Too much,Too little,About right,Too little,Too little,About right,About right,Too little,1,Fair,Yes,Yes,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,4,Good,Yes,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,About right,About right,NA,Excellent,NA,NA,2021
About right,Too much,About right,About right,About right,About right,About right,About right,Too little,About right,Too little,Too little,About right,About right,About right,Too much,About right,1,Fair,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,About right,Too little,NA,Good,NA,NA,2021
Too much,About right,About right,About right,About right,About right,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,About right,About right,About right,1,Poor,Yes,Both,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,1,Good,Yes,Both,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too much,Too much,NA,Too much,About right,About right,NA,Good,NA,NA,2021
Too much,Too little,Too much,About right,Too little,About right,Too little,Too little,Too little,Too much,Too much,Too little,About right,About right,Too little,Too little,About right,NA,Good,NA,NA,2021
Too much,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too much,About right,About right,Too little,About right,Too little,Too little,About right,1,Good,Somewhat,Somewhat,2021
About right,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,About right,About right,About right,3,Excellent,Somewhat,Somewhat,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too much,NA,About right,About right,Too little,6,Fair,Somewhat,Somewhat,2021
Too much,About right,Too little,About right,Too much,Too much,Too little,Too little,Too little,Too much,About right,Too little,About right,About right,About right,Too little,About right,3,Good,Somewhat,Somewhat,2021
NA,NA,Too much,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,NA,Excellent,NA,NA,2021
Too much,Too little,Too little,About right,Too little,Too much,Too little,About right,Too much,Too much,Too little,About right,About right,Too much,Too little,Too little,Too little,5,Fair,Both,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,4,Fair,Yes,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,NA,Fair,NA,NA,2021
About right,About right,About right,Too little,About right,About right,Too little,About right,Too little,Too much,Too little,About right,About right,Too little,About right,About right,Too little,5,Excellent,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,Too little,2,Good,Both,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,NA,Good,NA,NA,2021
Too much,About right,Too little,About right,About right,Too little,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,About right,Too little,NA,Fair,NA,NA,2021
Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,3,Fair,Both,Both,2021
Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,4,Good,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,Too much,Too much,About right,7,Fair,Somewhat,Somewhat,2021
About right,About right,About right,About right,About right,About right,Too little,About right,Too little,About right,About right,About right,Too little,Too little,Too much,About right,About right,NA,Good,NA,NA,2021
Too much,Too much,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too much,NA,About right,About right,Too little,NA,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too much,NA,Too little,About right,About right,NA,Excellent,NA,NA,2021
About right,Too little,About right,About right,About right,About right,Too little,About right,About right,Too much,Too little,About right,About right,Too little,Too little,About right,About right,4,Good,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,About right,NA,Excellent,NA,NA,2021
About right,Too much,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,Too little,2,Excellent,Yes,Somewhat,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,About right,About right,NA,Excellent,NA,NA,2021
About right,Too much,About right,Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,About right,2,Good,Yes,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Excellent,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,3,Good,Somewhat,Somewhat,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,NA,NA,Too little,NA,Too little,5,Good,NA,Both,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,3,Poor,Both,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,About right,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,NA,Excellent,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,1,Good,Somewhat,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,1,Good,Yes,Yes,2021
About right,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too much,About right,Too little,About right,Too little,About right,5,Excellent,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,About right,1,Excellent,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,About right,NA,Good,NA,NA,2021
About right,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,2,Good,Yes,Somewhat,2021
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Too little,Too little,About right,Too little,Too little,Too little,Too little,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,5,Fair,Both,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,About right,Too little,3,Excellent,Both,Both,2021
About right,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,Too little,About right,About right,1,Good,Somewhat,Somewhat,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,NA,Fair,NA,NA,2021
About right,Too much,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,About right,Too little,About right,About right,About right,Too little,About right,2,Good,Somewhat,Somewhat,2021
NA,NA,Too much,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,About right,NA,Too little,About right,About right,7,Excellent,No,No,2021
About right,About right,About right,Too little,About right,Too little,Too little,About right,Too little,About right,About right,About right,About right,Too little,NA,NA,About right,NA,Good,NA,NA,2021
Too much,About right,About right,About right,About right,Too much,Too little,Too little,About right,Too much,About right,Too little,About right,Too much,About right,Too little,Too much,6,Good,NA,NA,2021
Too much,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Fair,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,3,Fair,No,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,About right,About right,NA,Excellent,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,NA,NA,About right,Too little,Too little,1,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,About right,Too much,Too little,NA,Fair,NA,NA,2021
Too much,Too little,About right,About right,About right,Too little,Too little,About right,About right,Too much,Too little,About right,Too little,Too little,About right,About right,Too little,7,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,About right,Too little,2,Good,Both,Both,2021
NA,NA,Too much,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2021
Too much,Too much,About right,Too little,About right,About right,Too little,Too little,Too little,Too much,Too little,Too little,About right,About right,About right,About right,About right,NA,Fair,NA,NA,2021
Too much,About right,About right,Too little,Too little,NA,About right,About right,Too little,About right,Too little,About right,Too little,About right,Too little,About right,Too little,5,Good,Both,Both,2021
About right,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too much,About right,Too little,2,Fair,NA,Both,2021
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,Too little,Too much,Too little,4,Good,NA,NA,2021
About right,Too much,Too little,About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,Good,Yes,Somewhat,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too much,Too little,About right,5,Fair,Yes,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,About right,About right,1,Good,Somewhat,Somewhat,2021
Too little,About right,About right,About right,About right,Too little,Too little,About right,Too little,About right,About right,Too much,Too little,Too little,Too little,About right,About right,3,Fair,Both,Both,2021
Too much,About right,About right,About right,Too little,Too little,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,4,Good,NA,NA,2021
NA,About right,NA,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,About right,3,Good,Somewhat,Both,2021
Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,Too little,About right,About right,About right,About right,3,Good,Yes,Both,2021
Too much,Too little,About right,NA,Too little,Too little,Too little,About right,About right,Too much,About right,Too little,Too little,About right,Too little,About right,Too little,NA,Good,NA,NA,2021
Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,1,Good,Yes,Yes,2021
Too much,Too much,About right,Too little,About right,About right,Too little,Too little,Too little,Too much,Too little,Too much,About right,Too little,Too little,Too little,About right,NA,Good,NA,NA,2021
NA,NA,Too much,NA,NA,NA,NA,Too much,NA,NA,NA,Too much,Too much,NA,Too little,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,About right,Too little,1,Excellent,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,About right,Too little,NA,Too much,Too much,Too little,2,Fair,Yes,Yes,2021
Too much,About right,About right,Too much,About right,NA,About right,Too little,Too little,Too little,About right,Too little,About right,About right,About right,NA,About right,4,Good,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,About right,Too little,7,Good,Both,Both,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,Too little,Too little,NA,Good,NA,NA,2021
About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,2,Excellent,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too much,1,Excellent,Somewhat,Both,2021
About right,About right,Too little,About right,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,2,Good,Somewhat,Somewhat,2021
Too much,About right,About right,About right,Too little,About right,Too little,Too little,Too little,Too much,About right,About right,About right,About right,Too little,About right,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too much,NA,About right,Too much,Too little,1,Good,NA,NA,2021
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,1,Fair,Yes,Yes,2021
Too much,About right,About right,About right,About right,Too little,About right,About right,About right,About right,Too little,About right,About right,About right,About right,About right,About right,6,Good,NA,NA,2021
Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Good,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,1,Excellent,Yes,Yes,2021
About right,Too much,Too little,About right,About right,About right,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,About right,1,Excellent,Yes,Somewhat,2021
Too little,Too much,Too little,NA,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,1,Excellent,Yes,Both,2021
About right,Too much,About right,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,Too little,Too little,Too little,1,Excellent,Yes,Yes,2021
Too much,Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,About right,Too little,About right,Too little,3,Excellent,Yes,Both,2021
Too much,About right,About right,About right,Too little,Too little,Too little,About right,About right,About right,Too little,About right,About right,About right,About right,About right,Too little,5,Good,Both,Both,2021
About right,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,Too little,Too little,About right,About right,Too little,NA,Excellent,NA,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Excellent,NA,NA,2021
Too much,Too little,Too little,About right,Too little,About right,Too little,About right,Too little,Too much,About right,Too much,About right,Too much,About right,About right,Too little,NA,Fair,NA,NA,2021
About right,About right,NA,About right,Too little,About right,About right,Too little,About right,Too little,Too little,About right,About right,About right,About right,Too little,Too little,1,Fair,Yes,NA,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,About right,Too little,Too little,NA,Excellent,NA,NA,2021
Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,Too little,1,Fair,Both,Yes,2021
About right,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,About right,Too little,About right,NA,Good,NA,NA,2021
About right,Too much,Too little,About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,1,Fair,Yes,Yes,2021
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,NA,Good,NA,NA,2021
About right,About right,About right,About right,About right,Too little,Too little,Too little,Too little,Too much,Too little,About right,About right,Too little,Too little,About right,About right,5,Good,Both,Both,2021
NA,NA,Too much,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,Too little,Too little,2,Good,Yes,Yes,2021
Too much,About right,About right,Too little,Too little,About right,Too little,About right,Too little,Too much,About right,Too much,About right,About right,About right,About right,Too much,NA,Good,NA,NA,2021
